L 32,p 0.591400,Z 100000
/* Tamanio de cluster; Ocurrencias de cada tamaño de cluster */
246;231
247;241
248;215
249;224
250;237
251;248
252;199
253;216
254;233
255;238
256;232
257;218
258;206
259;242
260;217
261;212
262;202
263;233
264;234
265;229
266;195
267;184
268;230
269;217
270;201
271;213
272;218
273;188
274;200
275;187
276;184
277;182
278;177
279;189
280;190
281;191
282;186
283;194
284;175
285;186
286;166
287;192
288;162
289;168
290;179
291;175
292;174
293;181
294;148
295;164
296;162
297;150
298;176
299;189
300;154
301;140
302;164
303;135
304;163
305;153
306;169
307;140
308;170
309;176
310;159
311;172
312;152
313;138
314;140
315;134
316;136
317;165
318;129
319;139
320;140
321;142
322;132
323;118
324;128
325;116
326;132
327;115
328;114
329;130
330;138
331;134
332;135
333;127
334;124
335;116
336;119
337;113
338;121
339;120
340;147
341;115
342;121
343;108
344;121
345;87
346;120
347;127
348;81
349;116
350;108
351;98
352;103
353;114
354;95
355;90
356;108
357;107
358;84
359;94
360;98
361;91
362;94
363;77
364;91
365;100
366;89
367;85
368;93
369;78
370;80
371;75
372;83
373;94
374;84
375;67
376;80
377;77
378;82
379;82
380;77
381;70
382;66
383;67
384;79
385;85
386;66
387;56
388;60
389;79
390;77
391;73
392;61
393;60
394;68
395;65
396;48
397;50
398;60
399;55
400;50
401;60
402;54
403;59
404;46
405;41
406;54
407;54
408;49
409;40
410;52
411;51
412;37
413;38
414;37
415;50
416;47
417;36
418;48
419;32
420;33
421;33
422;32
423;46
424;34
425;42
426;41
427;34
428;39
429;34
430;30
431;26
432;24
433;39
434;29
435;30
436;22
437;27
438;23
439;28
440;26
441;23
442;23
443;19
444;18
445;24
446;20
447;19
448;15
449;13
450;23
451;20
452;16
453;18
454;10
455;13
456;12
457;22
458;16
459;9
460;12
461;11
462;15
463;13
464;9
465;10
466;14
467;14
468;15
469;7
470;9
471;8
472;11
473;15
474;11
475;15
476;8
477;8
478;6
479;8
480;9
481;8
482;8
483;10
484;7
485;4
486;6
487;6
488;8
489;5
490;3
491;6
492;4
493;9
494;4
495;6
496;6
497;4
498;4
499;1
500;3
501;6
502;5
503;5
504;2
505;2
506;4
507;2
508;1
509;3
510;3
511;1
512;1
513;0
514;4
515;2
516;0
517;0
518;0
519;3
520;1
521;1
522;1
523;2
524;1
525;3
526;0
527;2
528;0
529;1
530;0
531;1
532;0
533;0
534;0
535;0
536;1
537;1
538;0
539;0
540;0
541;1
542;0
543;0
544;0
545;0
546;0
547;0
548;1
549;0
550;0
551;0
552;0
553;0
554;0
555;0
556;0
557;0
558;0
559;0
560;0
561;0
562;0
563;0
564;0
565;0
566;0
567;0
568;0
569;0
570;0
571;0
572;0
573;0
574;0
575;0
576;0
577;0
578;0
579;0
580;0
581;0
582;0
583;0
584;0
585;0
586;0
587;0
588;0
589;0
590;0
591;0
592;0
593;0
594;0
595;0
596;0
597;0
598;0
599;0
600;0
601;0
602;0
603;0
604;0
605;0
606;0
607;0
608;0
609;0
610;0
611;0
612;0
613;0
614;0
615;0
616;0
617;0
618;0
619;0
620;0
621;0
622;0
623;0
624;0
625;0
626;0
627;0
628;0
629;0
630;0
631;0
632;0
633;0
634;0
635;0
636;0
637;0
638;0
639;0
640;0
641;0
642;0
643;0
644;0
645;0
646;0
647;0
648;0
649;0
650;0
651;0
652;0
653;0
654;0
655;0
656;0
657;0
658;0
659;0
660;0
661;0
662;0
663;0
664;0
665;0
666;0
667;0
668;0
669;0
670;0
671;0
672;0
673;0
674;0
675;0
676;0
677;0
678;0
679;0
680;0
681;0
682;0
683;0
684;0
685;0
686;0
687;0
688;0
689;0
690;0
691;0
692;0
693;0
694;0
695;0
696;0
697;0
698;0
699;0
700;0
701;0
702;0
703;0
704;0
705;0
706;0
707;0
708;0
709;0
710;0
711;0
712;0
713;0
714;0
715;0
716;0
717;0
718;0
719;0
720;0
721;0
722;0
723;0
724;0
725;0
726;0
727;0
728;0
729;0
730;0
731;0
732;0
733;0
734;0
735;0
736;0
737;0
738;0
739;0
740;0
741;0
742;0
743;0
744;0
745;0
746;0
747;0
748;0
749;0
750;0
751;0
752;0
753;0
754;0
755;0
756;0
757;0
758;0
759;0
760;0
761;0
762;0
763;0
764;0
765;0
766;0
767;0
768;0
769;0
770;0
771;0
772;0
773;0
774;0
775;0
776;0
777;0
778;0
779;0
780;0
781;0
782;0
783;0
784;0
785;0
786;0
787;0
788;0
789;0
790;0
791;0
792;0
793;0
794;0
795;0
796;0
797;0
798;0
799;0
800;0
801;0
802;0
803;0
804;0
805;0
806;0
807;0
808;0
809;0
810;0
811;0
812;0
813;0
814;0
815;0
816;0
817;0
818;0
819;0
820;0
821;0
822;0
823;0
824;0
825;0
826;0
827;0
828;0
829;0
830;0
831;0
832;0
833;0
834;0
835;0
836;0
837;0
838;0
839;0
840;0
841;0
842;0
843;0
844;0
845;0
846;0
847;0
848;0
849;0
850;0
851;0
852;0
853;0
854;0
855;0
856;0
857;0
858;0
859;0
860;0
861;0
862;0
863;0
864;0
865;0
866;0
867;0
868;0
869;0
870;0
871;0
872;0
873;0
874;0
875;0
876;0
877;0
878;0
879;0
880;0
881;0
882;0
883;0
884;0
885;0
886;0
887;0
888;0
889;0
890;0
891;0
892;0
893;0
894;0
895;0
896;0
897;0
898;0
899;0
900;0
901;0
902;0
903;0
904;0
905;0
906;0
907;0
908;0
909;0
910;0
911;0
912;0
913;0
914;0
915;0
916;0
917;0
918;0
919;0
920;0
921;0
922;0
923;0
924;0
925;0
926;0
927;0
928;0
929;0
930;0
931;0
932;0
933;0
934;0
935;0
936;0
937;0
938;0
939;0
940;0
941;0
942;0
943;0
944;0
945;0
946;0
947;0
948;0
949;0
950;0
951;0
952;0
953;0
954;0
955;0
956;0
957;0
958;0
959;0
960;0
961;0
962;0
963;0
964;0
965;0
966;0
967;0
968;0
969;0
970;0
971;0
972;0
973;0
974;0
975;0
976;0
977;0
978;0
979;0
980;0
981;0
982;0
983;0
984;0
985;0
986;0
987;0
988;0
989;0
990;0
991;0
992;0
993;0
994;0
995;0
996;0
997;0
998;0
999;0
1000;0
1001;0
1002;0
1003;0
1004;0
1005;0
1006;0
1007;0
1008;0
1009;0
1010;0
1011;0
1012;0
1013;0
1014;0
1015;0
1016;0
1017;0
1018;0
1019;0
1020;0
1021;0
1022;0
1023;0
1024;0
