L 32,p 0.592600,Z 100000
/* Tamanio de cluster; Ocurrencias de cada tamaño de cluster */
287;177
288;198
289;184
290;202
291;148
292;179
293;173
294;163
295;177
296;167
297;153
298;157
299;157
300;154
301;178
302;173
303;158
304;144
305;145
306;126
307;153
308;149
309;143
310;157
311;145
312;137
313;128
314;153
315;146
316;149
317;129
318;146
319;115
320;145
321;128
322;136
323;145
324;148
325;128
326;132
327;123
328;130
329;126
330;120
331;116
332;133
333;110
334;124
335;145
336;133
337;130
338;129
339;117
340;115
341;116
342;105
343;114
344;95
345;116
346;112
347;119
348;117
349;113
350;116
351;100
352;85
353;96
354;99
355;107
356;90
357;104
358;96
359;89
360;94
361;76
362;102
363;72
364;92
365;81
366;88
367;79
368;84
369;91
370;83
371;61
372;84
373;74
374;67
375;89
376;70
377;72
378;74
379;83
380;58
381;70
382;73
383;79
384;78
385;76
386;79
387;76
388;68
389;72
390;70
391;60
392;60
393;65
394;67
395;55
396;63
397;54
398;62
399;55
400;60
401;52
402;62
403;61
404;46
405;44
406;46
407;54
408;46
409;49
410;59
411;46
412;51
413;47
414;45
415;48
416;41
417;42
418;42
419;55
420;48
421;40
422;52
423;41
424;25
425;26
426;30
427;35
428;47
429;28
430;30
431;35
432;26
433;32
434;30
435;32
436;27
437;29
438;34
439;30
440;25
441;23
442;29
443;30
444;28
445;21
446;22
447;25
448;28
449;17
450;12
451;19
452;14
453;21
454;22
455;21
456;22
457;20
458;17
459;19
460;16
461;14
462;13
463;16
464;14
465;9
466;20
467;12
468;15
469;4
470;9
471;13
472;5
473;8
474;13
475;10
476;7
477;14
478;8
479;10
480;3
481;5
482;11
483;10
484;4
485;9
486;7
487;8
488;3
489;8
490;2
491;9
492;5
493;6
494;2
495;3
496;6
497;3
498;3
499;2
500;3
501;4
502;8
503;5
504;3
505;5
506;5
507;4
508;2
509;0
510;2
511;3
512;2
513;2
514;2
515;2
516;2
517;3
518;3
519;1
520;1
521;1
522;2
523;2
524;0
525;1
526;1
527;0
528;3
529;0
530;0
531;1
532;0
533;1
534;0
535;0
536;0
537;1
538;1
539;0
540;0
541;0
542;1
543;1
544;0
545;1
546;0
547;0
548;1
549;2
550;0
551;0
552;1
553;0
554;0
555;0
556;0
557;0
558;0
559;0
560;0
561;0
562;0
563;0
564;0
565;0
566;0
567;0
568;0
569;0
570;0
571;0
572;0
573;0
574;0
575;0
576;0
577;0
578;0
579;0
580;0
581;0
582;0
583;0
584;0
585;0
586;0
587;0
588;0
589;0
590;0
591;0
592;0
593;0
594;0
595;0
596;0
597;0
598;0
599;0
600;0
601;0
602;0
603;0
604;0
605;0
606;0
607;0
608;0
609;0
610;0
611;0
612;0
613;0
614;0
615;0
616;0
617;0
618;0
619;0
620;0
621;0
622;0
623;0
624;0
625;0
626;0
627;0
628;0
629;0
630;0
631;0
632;0
633;0
634;0
635;0
636;0
637;0
638;0
639;0
640;0
641;0
642;0
643;0
644;0
645;0
646;0
647;0
648;0
649;0
650;0
651;0
652;0
653;0
654;0
655;0
656;0
657;0
658;0
659;0
660;0
661;0
662;0
663;0
664;0
665;0
666;0
667;0
668;0
669;0
670;0
671;0
672;0
673;0
674;0
675;0
676;0
677;0
678;0
679;0
680;0
681;0
682;0
683;0
684;0
685;0
686;0
687;0
688;0
689;0
690;0
691;0
692;0
693;0
694;0
695;0
696;0
697;0
698;0
699;0
700;0
701;0
702;0
703;0
704;0
705;0
706;0
707;0
708;0
709;0
710;0
711;0
712;0
713;0
714;0
715;0
716;0
717;0
718;0
719;0
720;0
721;0
722;0
723;0
724;0
725;0
726;0
727;0
728;0
729;0
730;0
731;0
732;0
733;0
734;0
735;0
736;0
737;0
738;0
739;0
740;0
741;0
742;0
743;0
744;0
745;0
746;0
747;0
748;0
749;0
750;0
751;0
752;0
753;0
754;0
755;0
756;0
757;0
758;0
759;0
760;0
761;0
762;0
763;0
764;0
765;0
766;0
767;0
768;0
769;0
770;0
771;0
772;0
773;0
774;0
775;0
776;0
777;0
778;0
779;0
780;0
781;0
782;0
783;0
784;0
785;0
786;0
787;0
788;0
789;0
790;0
791;0
792;0
793;0
794;0
795;0
796;0
797;0
798;0
799;0
800;0
801;0
802;0
803;0
804;0
805;0
806;0
807;0
808;0
809;0
810;0
811;0
812;0
813;0
814;0
815;0
816;0
817;0
818;0
819;0
820;0
821;0
822;0
823;0
824;0
825;0
826;0
827;0
828;0
829;0
830;0
831;0
832;0
833;0
834;0
835;0
836;0
837;0
838;0
839;0
840;0
841;0
842;0
843;0
844;0
845;0
846;0
847;0
848;0
849;0
850;0
851;0
852;0
853;0
854;0
855;0
856;0
857;0
858;0
859;0
860;0
861;0
862;0
863;0
864;0
865;0
866;0
867;0
868;0
869;0
870;0
871;0
872;0
873;0
874;0
875;0
876;0
877;0
878;0
879;0
880;0
881;0
882;0
883;0
884;0
885;0
886;0
887;0
888;0
889;0
890;0
891;0
892;0
893;0
894;0
895;0
896;0
897;0
898;0
899;0
900;0
901;0
902;0
903;0
904;0
905;0
906;0
907;0
908;0
909;0
910;0
911;0
912;0
913;0
914;0
915;0
916;0
917;0
918;0
919;0
920;0
921;0
922;0
923;0
924;0
925;0
926;0
927;0
928;0
929;0
930;0
931;0
932;0
933;0
934;0
935;0
936;0
937;0
938;0
939;0
940;0
941;0
942;0
943;0
944;0
945;0
946;0
947;0
948;0
949;0
950;0
951;0
952;0
953;0
954;0
955;0
956;0
957;0
958;0
959;0
960;0
961;0
962;0
963;0
964;0
965;0
966;0
967;0
968;0
969;0
970;0
971;0
972;0
973;0
974;0
975;0
976;0
977;0
978;0
979;0
980;0
981;0
982;0
983;0
984;0
985;0
986;0
987;0
988;0
989;0
990;0
991;0
992;0
993;0
994;0
995;0
996;0
997;0
998;0
999;0
1000;0
1001;0
1002;0
1003;0
1004;0
1005;0
1006;0
1007;0
1008;0
1009;0
1010;0
1011;0
1012;0
1013;0
1014;0
1015;0
1016;0
1017;0
1018;0
1019;0
1020;0
1021;0
1022;0
1023;0
1024;0
