L 32,p 0.586500,Z 100000
/* Tamanio de cluster; Ocurrencias de cada tamaño de cluster */
286;205
287;168
288;164
289;165
290;166
291;198
292;177
293;160
294;168
295;162
296;171
297;169
298;157
299;168
300;172
301;170
302;161
303;158
304;151
305;166
306;141
307;143
308;156
309;147
310;137
311;147
312;136
313;149
314;151
315;158
316;133
317;125
318;132
319;141
320;127
321;127
322;138
323;137
324;142
325;136
326;126
327;141
328;134
329;112
330;128
331;123
332;135
333;132
334;131
335;111
336;113
337;105
338;110
339;123
340;98
341;119
342;101
343;96
344;115
345;112
346;100
347;84
348;94
349;101
350;98
351;106
352;95
353;90
354;86
355;108
356;90
357;106
358;105
359;85
360;87
361;74
362;82
363;82
364;82
365;84
366;77
367;87
368;75
369;73
370;58
371;95
372;76
373;74
374;72
375;67
376;68
377;76
378;76
379;79
380;66
381;63
382;68
383;71
384;50
385;89
386;71
387;64
388;65
389;55
390;53
391;53
392;53
393;57
394;47
395;41
396;57
397;50
398;57
399;67
400;58
401;49
402;55
403;47
404;44
405;42
406;37
407;37
408;49
409;37
410;40
411;44
412;35
413;41
414;42
415;39
416;38
417;36
418;40
419;44
420;29
421;27
422;34
423;34
424;35
425;40
426;37
427;38
428;16
429;22
430;16
431;24
432;31
433;17
434;19
435;35
436;29
437;23
438;26
439;21
440;15
441;19
442;16
443;12
444;16
445;12
446;7
447;21
448;16
449;18
450;16
451;9
452;17
453;9
454;16
455;18
456;14
457;15
458;8
459;12
460;17
461;9
462;10
463;12
464;14
465;11
466;11
467;11
468;6
469;7
470;7
471;8
472;12
473;8
474;5
475;9
476;6
477;2
478;4
479;4
480;5
481;5
482;3
483;2
484;8
485;4
486;6
487;3
488;2
489;2
490;5
491;7
492;2
493;3
494;4
495;2
496;3
497;1
498;4
499;3
500;2
501;6
502;4
503;2
504;3
505;2
506;0
507;2
508;4
509;1
510;2
511;2
512;1
513;0
514;1
515;1
516;0
517;2
518;0
519;1
520;1
521;0
522;0
523;1
524;0
525;1
526;1
527;0
528;0
529;1
530;0
531;0
532;0
533;0
534;1
535;0
536;0
537;0
538;0
539;0
540;0
541;0
542;0
543;0
544;0
545;0
546;0
547;0
548;0
549;0
550;1
551;0
552;0
553;0
554;1
555;0
556;0
557;0
558;0
559;0
560;0
561;0
562;0
563;0
564;0
565;0
566;0
567;0
568;0
569;0
570;0
571;0
572;0
573;0
574;0
575;0
576;0
577;0
578;0
579;0
580;0
581;0
582;0
583;0
584;0
585;0
586;0
587;0
588;0
589;0
590;0
591;0
592;0
593;0
594;0
595;0
596;0
597;0
598;0
599;0
600;0
601;0
602;0
603;0
604;0
605;0
606;0
607;0
608;0
609;0
610;0
611;0
612;0
613;0
614;0
615;0
616;0
617;0
618;0
619;0
620;0
621;0
622;0
623;0
624;0
625;0
626;0
627;0
628;0
629;0
630;0
631;0
632;0
633;0
634;0
635;0
636;0
637;0
638;0
639;0
640;0
641;0
642;0
643;0
644;0
645;0
646;0
647;0
648;0
649;0
650;0
651;0
652;0
653;0
654;0
655;0
656;0
657;0
658;0
659;0
660;0
661;0
662;0
663;0
664;0
665;0
666;0
667;0
668;0
669;0
670;0
671;0
672;0
673;0
674;0
675;0
676;0
677;0
678;0
679;0
680;0
681;0
682;0
683;0
684;0
685;0
686;0
687;0
688;0
689;0
690;0
691;0
692;0
693;0
694;0
695;0
696;0
697;0
698;0
699;0
700;0
701;0
702;0
703;0
704;0
705;0
706;0
707;0
708;0
709;0
710;0
711;0
712;0
713;0
714;0
715;0
716;0
717;0
718;0
719;0
720;0
721;0
722;0
723;0
724;0
725;0
726;0
727;0
728;0
729;0
730;0
731;0
732;0
733;0
734;0
735;0
736;0
737;0
738;0
739;0
740;0
741;0
742;0
743;0
744;0
745;0
746;0
747;0
748;0
749;0
750;0
751;0
752;0
753;0
754;0
755;0
756;0
757;0
758;0
759;0
760;0
761;0
762;0
763;0
764;0
765;0
766;0
767;0
768;0
769;0
770;0
771;0
772;0
773;0
774;0
775;0
776;0
777;0
778;0
779;0
780;0
781;0
782;0
783;0
784;0
785;0
786;0
787;0
788;0
789;0
790;0
791;0
792;0
793;0
794;0
795;0
796;0
797;0
798;0
799;0
800;0
801;0
802;0
803;0
804;0
805;0
806;0
807;0
808;0
809;0
810;0
811;0
812;0
813;0
814;0
815;0
816;0
817;0
818;0
819;0
820;0
821;0
822;0
823;0
824;0
825;0
826;0
827;0
828;0
829;0
830;0
831;0
832;0
833;0
834;0
835;0
836;0
837;0
838;0
839;0
840;0
841;0
842;0
843;0
844;0
845;0
846;0
847;0
848;0
849;0
850;0
851;0
852;0
853;0
854;0
855;0
856;0
857;0
858;0
859;0
860;0
861;0
862;0
863;0
864;0
865;0
866;0
867;0
868;0
869;0
870;0
871;0
872;0
873;0
874;0
875;0
876;0
877;0
878;0
879;0
880;0
881;0
882;0
883;0
884;0
885;0
886;0
887;0
888;0
889;0
890;0
891;0
892;0
893;0
894;0
895;0
896;0
897;0
898;0
899;0
900;0
901;0
902;0
903;0
904;0
905;0
906;0
907;0
908;0
909;0
910;0
911;0
912;0
913;0
914;0
915;0
916;0
917;0
918;0
919;0
920;0
921;0
922;0
923;0
924;0
925;0
926;0
927;0
928;0
929;0
930;0
931;0
932;0
933;0
934;0
935;0
936;0
937;0
938;0
939;0
940;0
941;0
942;0
943;0
944;0
945;0
946;0
947;0
948;0
949;0
950;0
951;0
952;0
953;0
954;0
955;0
956;0
957;0
958;0
959;0
960;0
961;0
962;0
963;0
964;0
965;0
966;0
967;0
968;0
969;0
970;0
971;0
972;0
973;0
974;0
975;0
976;0
977;0
978;0
979;0
980;0
981;0
982;0
983;0
984;0
985;0
986;0
987;0
988;0
989;0
990;0
991;0
992;0
993;0
994;0
995;0
996;0
997;0
998;0
999;0
1000;0
1001;0
1002;0
1003;0
1004;0
1005;0
1006;0
1007;0
1008;0
1009;0
1010;0
1011;0
1012;0
1013;0
1014;0
1015;0
1016;0
1017;0
1018;0
1019;0
1020;0
1021;0
1022;0
1023;0
1024;0
